TickerName,RollingWindow,ROI,MaxDrawdown,SharpeRatio,ROI_to_MDD
AAPL,20,8.148606811145513,-0.3957298907646476,5.307548404059648,20.591335153885893
AMZN,20,14.415353738079807,-0.5116562990523806,6.338710122924587,28.173900653188362
GOOGL,20,11.15362836450405,-0.39092992568928386,6.402872175183155,28.53101702264947
META,20,10.978467701552319,-0.6539139990168013,5.760392367531221,16.788855595780333
MSFT,20,15.68290544133082,-0.3029764821166095,7.819262354899102,51.762781493036115
NVDA,20,52.196800780453735,-0.4130434782608695,6.310308058751764,126.37120188951958
TSLA,20,81.18820894087213,-0.3819991704686854,5.365406684608813,212.53503990927533
AAPL,60,6.327141382868938,-0.3957298907646476,5.182576040521987,15.988535439269807
AMZN,60,4.735748894241975,-0.5116562990523806,4.887787157830008,9.255722841706193
GOOGL,60,12.131721675317047,-0.3909299256892839,6.6602105943257115,31.032982839383582
META,60,10.978467701552319,-0.6539139990168013,5.760392367531221,16.788855595780333
MSFT,60,2.100904531397413,-0.15450980392156874,5.078833866655072,13.597224759044162
NVDA,60,10.486801242236025,-0.4130434782608695,4.5544204131154595,25.389097744360907
TSLA,60,81.18820894087213,-0.3819991704686854,5.365406684608813,212.53503990927533
AAPL,120,6.327141382868938,-0.3957298907646476,5.182576040521987,15.988535439269807
AMZN,120,4.735748894241975,-0.5116562990523806,4.887787157830008,9.255722841706193
GOOGL,120,12.131721675317047,-0.3909299256892839,6.6602105943257115,31.032982839383582
META,120,10.978467701552319,-0.6539139990168013,5.760392367531221,16.788855595780333
MSFT,120,2.100904531397413,-0.15450980392156874,5.078833866655072,13.597224759044162
NVDA,120,10.486801242236025,-0.4130434782608695,4.5544204131154595,25.389097744360907
TSLA,120,81.18820894087213,-0.3819991704686854,5.365406684608813,212.53503990927533
AAPL,180,6.327141382868938,-0.3957298907646476,5.182576040521987,15.988535439269807
AMZN,180,4.735748894241975,-0.5116562990523806,4.887787157830008,9.255722841706193
GOOGL,180,12.131721675317047,-0.3909299256892839,6.6602105943257115,31.032982839383582
META,180,10.978467701552319,-0.6539139990168013,5.760392367531221,16.788855595780333
MSFT,180,2.100904531397413,-0.15450980392156874,5.078833866655072,13.597224759044162
NVDA,180,10.486801242236025,-0.4130434782608695,4.5544204131154595,25.389097744360907
TSLA,180,81.18820894087213,-0.3819991704686854,5.365406684608813,212.53503990927533
AAPL,250,6.327141382868938,-0.3957298907646476,5.182576040521987,15.988535439269807
AMZN,250,4.735748894241975,-0.5116562990523806,4.887787157830008,9.255722841706193
GOOGL,250,12.131721675317047,-0.3909299256892839,6.6602105943257115,31.032982839383582
META,250,10.978467701552319,-0.6539139990168013,5.760392367531221,16.788855595780333
MSFT,250,2.100904531397413,-0.15450980392156874,5.078833866655072,13.597224759044162
NVDA,250,10.486801242236025,-0.4130434782608695,4.5544204131154595,25.389097744360907
TSLA,250,81.18820894087213,-0.3819991704686854,5.365406684608813,212.53503990927533
AAPL,500,6.327141382868938,-0.3957298907646476,5.182576040521987,15.988535439269807
AMZN,500,4.735748894241975,-0.5116562990523806,4.887787157830008,9.255722841706193
GOOGL,500,12.131721675317047,-0.3909299256892839,6.6602105943257115,31.032982839383582
META,500,10.978467701552319,-0.6539139990168013,5.760392367531221,16.788855595780333
MSFT,500,2.100904531397413,-0.15450980392156874,5.078833866655072,13.597224759044162
NVDA,500,10.486801242236025,-0.4130434782608695,4.5544204131154595,25.389097744360907
TSLA,500,81.18820894087213,-0.3819991704686854,5.365406684608813,212.53503990927533
